theta,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
-0.01,5144,6296,5624,6868,4956,6036,5404,6604,5148,6340,5255.2,6428.8
-0.02,5132,6264,5448,6832,4916,5988,5338,6470,5114,6284,5189.6,6367.6
-0.03,5074,6148,5284,6488,4872,5898,5272,6336,5080,6228,5116.4,6219.6
-0.04,5016,6032,5224,6400,4828,5808,5144,6212,5004,6094,5043.2,6109.2
-0.05,4936,5906,5164,6312,4760,5988,5070,6248,4928,5960,4971.6,6082.8
-0.06,4856,5780,5104,6224,4692,6168,4996,6284,4844,5830,4898.4,6057.2
-0.07,4754,5640,5012,6084,4608,5744,4924,6004,4760,5700,4811.6,5834.4
-0.08,4652,5500,4920,5944,4524,5320,4852,5724,4700,5813.33333,4729.6,5660.26667
-0.09,4576,5386,4830,5808,4466.66667,5236,4776,5612,4640,5926.66667,4657.73333,5593.73333
-0.1,4500,5272,4740,5672,4409.33333,5152,4700,5500,4580,6040,4585.86667,5527.2
-0.11,4414,5152,4646,5530,4352,5068,4630,5396,4416,5184,4491.6,5266
-0.12,4328,5032,4552,5388,4266,4956,4560,5292,4360,5093.33333,4413.2,5152.26667
-0.13,4254,4928,4470,5272,4180,4844,4496,5196,4304,5002.66667,4340.8,5048.53333
-0.14,4180,4824,4388,5156,4154,4736,4432,5100,4248,4912,4280.4,4945.6
-0.15,4137.33333,4756,4308,5044,4128,4628,4364,4998,4148,4854,4217.06667,4856
-0.16,4094.66667,4688,4228,4932,4024,4536,4296,4896,4048,4796,4138.13333,4769.6
-0.17,4052,4620,4181.33333,4858.66667,3920,4444,4234,4802,4010,4696,4079.46667,4684.13333
-0.18,3928,4452,4134.66667,4785.33333,3860,4356,4172,4708,3972,4596,4013.33333,4579.46667
-0.19,3884,4393.33333,4088,4712,3800,4268,4133.33333,4698.66667,3912,4496,3963.46667,4513.6
-0.2,3840,4334.66667,3960,4788,3758.66667,4212,4094.66667,4689.33333,3852,4396,3901.06667,4484
-0.21,3796,4276,3918.66667,4645.33333,3717.33333,4156,4056,4680,3782,4276,3854,4406.66667
-0.22,3748,4202,3877.33333,4502.66667,3676,4100,4002,4530,3712,4156,3803.06667,4298.13333
-0.23,3700,4128,3836,4360,3628,4028,3948,4380,3660,4102,3754.4,4199.6
-0.24,3652,4050,3786,4284,3580,3956,3898,4300,3608,4048,3704.8,4127.6
-0.25,3604,3972,3736,4208,3552,3906.66667,3848,4220,3566,4016,3661.2,4064.53333
-0.26,3562,3910,3686,4132,3524,3857.33333,3817.33333,4174.66667,3524,3984,3622.66667,4011.6
-0.27,3520,3848,3636,4056,3496,3808,3786.66667,4129.33333,3480,3880,3583.73333,3944.26667
