theta,6cm_Left_avg,6cm_Right_avg,7cm_Left_avg,7cm_Right_avg,8cm_Left_avg,8cm_Right_avg,9cm_Left_avg,9cm_Right_avg,10cm_Left_avg,19cm_Right_avg,11cm_Left_avg,11cm_Right_avg
-0.01,1004,1336,2138.4,2692,3155.6,3943.2,5255.2,6428.8,5859.6,7190.8,9410,11172.8
-0.02,1098.4,1456.8,2125.2,2666,3463.2,4302.8,5189.6,6367.6,7182.4,8977.6,10147.6,12250
-0.03,1081.6,1431.6,2090.8,2612,3434.4,4244.4,5116.4,6219.6,7121.6,8746,9909.2,12101.6
-0.04,1061.6,1400,2046,2540.4,3382,4152.8,5043.2,6109.2,7027.2,8528,9717.2,11754.4
-0.05,1041.46667,1370.13333,2009.73333,2489.2,3329.2,4062.4,4971.6,6082.8,6899.2,8357.6,9605.2,11476.8
-0.06,1021.73333,1337.46667,1975.46667,2438.4,3270.4,3974,4898.4,6057.2,6768.8,8155.6,9475.46667,11120.5333
-0.07,1004,1309.6,1939.2,2385.6,3208.8,3883.6,4811.6,5834.4,6691.6,7943.2,9384.13333,10889.0667
-0.08,983.2,1280,1899.2,2327.6,3126,3766,4729.6,5660.26667,6586.66667,7778.93333,9285.6,10622.8
-0.09,965.866667,1258.53333,1861.6,2272,3065.73333,3678.93333,4657.73333,5593.73333,6484.93333,7636.66667,9145.6,10449.3333
-0.1,950.133333,1237.86667,1828.4,2220.8,3014.13333,3603.46667,4585.86667,5527.2,6410,7522.93333,8980.4,10321.8667
-0.11,933.6,1217.6,1794,2169.2,2963.33333,3526.8,4491.6,5266,6338.93333,7368.8,8818.4,10138.4
-0.12,916,1188.8,1756.8,2120.4,2909.6,3445.2,4413.2,5152.26667,6267.86667,7219.06667,8706.66667,9896.93333
-0.13,900,1162.13333,1721.6,2073.6,2856.93333,3366.26667,4340.8,5048.53333,6174.4,7119.6,8618.66667,9750.53333
-0.14,886.533333,1137.06667,1695.2,2028,2811.46667,3298,4280.4,4945.6,6046.4,7021.2,8484.66667,9649.73333
-0.15,873.066667,1112,1669.2,1982.8,2766.8,3231.33333,4217.06667,4856,5934.4,6917.46667,8360.8,9513.2
-0.16,860.266667,1088,1643.6,1943.2,2716,3160.8,4138.13333,4769.6,5837.6,6763.73333,8274.4,9290.4
-0.17,846.933333,1068,1617.6,1904,2665.86667,3093.2,4079.46667,4684.13333,5729.6,6607.2,8113.2,9022.8
-0.18,836,1048.8,1591.86667,1866.66667,2623.33333,3032,4013.33333,4579.46667,5643.06667,6473.2,7963.33333,8929.73333
-0.19,825.6,1028.4,1567.33333,1829.73333,2583.2,2973.2,3963.46667,4513.6,5588.26667,6374.93333,7859.06667,8800.26667
-0.2,817.866667,1010.8,1543.86667,1796.66667,2544.26667,2913.73333,3901.06667,4484,5524.53333,6285.6,7788.4,8592.4
-0.21,810.133333,994.4,1521.33333,1764.13333,2505.73333,2853.46667,3854,4406.66667,5458.53333,6201.86667,7672.93333,8476.93333
-0.22,803.733333,980,1503.86667,1735.06667,2468.4,2797.6,3803.06667,4298.13333,5398.66667,6109.6,7577.86667,8391.46667
-0.23,795.866667,964.8,1487.73333,1708,2433.2,2745.86667,3754.4,4199.6,5339.33333,6007.6,7529.6,8294.93333
-0.24,788,949.6,1472.8,1682.13333,2398.8,2695.73333,3704.8,4127.6,5294.4,5914,7475.6,8188.26667
-0.25,780.933333,936,1461.6,1660.93333,2365.2,2647.2,3661.2,4064.53333,5252,5792,7403.6,8066.8
-0.26,773.866667,922.4,1450,1638.26667,2337.86667,2609.06667,3622.66667,4011.6,5199.6,5692.4,7322.8,7943.06667
-0.27,768.133333,910.8,1437.2,1615.2,2311.33333,2571.73333,3583.73333,3944.26667,5137.2,5619.2,7252,7804.13333
-0.28,762.666667,898.4,1421.6,1588.8,2286.8,2535.2,3544.26667,3882.26667,5081.33333,5551.73333,7155.6,7744.4
-0.29,758.133333,889.333333,1406,1565.2,2259.86667,2493.6,3501.33333,3824.53333,5021.86667,5486.26667,7060.26667,7735.86667
-0.3,754.666667,879.066667,1392.93333,1548.66667,2235.2,2455.46667,3464.8,3769.6,4962.4,5420.8,7009.33333,7658.8
-0.31,751.2,868.8,1381.06667,1533.06667,2211.33333,2417.73333,3433.06667,3722.26667,4930,5322.4,6965.2,7561.73333
-0.32,747.2,858.8,1372.66667,1516.93333,2186.8,2379.2,3402.53333,3677.33333,4897.6,5224,6909.2,7448
-0.33,743.2,848.8,1364.13333,1497.33333,2164.56,2346.4,3372.4,3629.6,4856.24,5204.64,6856.8,7337.6
-0.34,740.946667,840.213333,1358.02667,1480.21333,2142.52,2314,3342.06667,3583.2,4814.88,5185.28,6819,7223.6
-0.35,738.693333,831.626667,1351.65333,1465.62667,2125.41333,2288.8,3313.73333,3539.6,4783.52,5132.72,6761.2,7155.6
-0.36,736.44,823.04,1345.28,1451.04,2108.30667,2263.6,3285.4,3496,4752.16,5080.16,6703.4,7087.6
-0.37,734.72,813.92,1338.24,1435.12,2091.2,2238.4,3259.6,3458.26667,4719.2,5037.6,6656.13333,7000
-0.38,733.333333,806.4,1331.2,1419.2,2076.8,2210.66667,3236.66667,3419.86667,4681.46667,4984.66667,6616.53333,6919.46667
-0.39,732.266667,799.6,1326.56,1406.32,2062.4,2182.93333,3213.33333,3382.66667,4640.13333,4934.53333,6580.37333,6877.81333
-0.4,731.2,792.8,1321.92,1393.44,2051.4,2170.6,3190.6,3348.53333,4616.32,4886.4,6547.41333,6815.62667
-0.41,731.6,786,1317.28,1383.36,2039.2,2157.6,3168,3311.46667,4611.84,4843.73333,6596.72,6740.37333
-0.42,732,779.2,1312.64,1373.28,2027,2144.6,3145.4,3274.4,4607.36,4801.06667,6646.02667,6665.12
-0.43,733.6,777.2,1308,1364.26667,2013.2,2121.2,3129.6,3241.6,4577.28,4763.6,6594.26667,6597.06667
-0.44,735.2,775.2,1306,1354.13333,2001.6,2102.4,3118.4,3211.6,4556,4720,6542.53333,6550
-0.45,738.08,774.72,1304,1344,1994,2074,3106.88,3201.6,4544.64,4697.68,6475.6,6514.93333
-0.46,741.56,768.44,1304.10667,1335.48,1987.73333,2047.46667,3097.22667,3197.6,4519.88,4680.36,6455.8,6486.6
-0.47,742.906667,761.893333,1304.21333,1326.96,1984.4,2034.53333,3086.37333,3165.73333,4506.18667,4650.77333,6428.4,6454
-0.48,744.253333,755.346667,1304.32,1318.44,1981.06667,2021.6,3075.52,3133.86667,4492.49333,4621.18667,6401,6421.4
-0.49,745.6,748.8,1304.16,1310.32,1977.46667,2008.26667,3064.8,3102,4483.6,4594,6373.6,6398.4
-0.5,748.8,745.6,1304.66667,1303.86667,1973.33333,1993.73333,3058.8,3082.8,4471.73333,4558.53333,6353.86667,6372.13333
-0.51,753.6,742,1302.13333,1295.73333,1970,1982,3055.6,3063.2,4461.06667,4522.66667,6325.33333,6383.06667
-0.52,758.8,740.8,1304,1292.13333,1966.8,1967.2,3086,3045.6,4459.2,4498.4,6305.2,6415.6
-0.53,764.266667,739.733333,1308,1288.26667,1967.86667,1958.13333,3117.06667,3033.2,4455.06667,4488.26667,6310.8,6376.8
-0.54,770.533333,738.266667,1310.93333,1284.8,1969.33333,1949.86667,3080.4,3021.2,4451.33333,4471.46667,6320,6306.8
