x,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
0.1,5.1,5.25,4.68085106,4.72340426,4.65957447,4.80851064,32.7619048,73.5238095,4.85106383,4.85106383,10.4106788,18.6313576
0.2,10.2,10.5,9.36170213,9.44680851,9.31914894,9.61702128,65.5238095,147.047619,9.70212766,9.70212766,20.8213576,37.2627153
0.3,15.3,15.75,14.0425532,14.1702128,13.9787234,14.4255319,98.2857143,220.571429,14.5531915,14.5531915,31.2320365,55.8940729
0.4,20.4,21,18.7234043,18.893617,18.6382979,19.2340426,131.047619,294.095238,19.4042553,19.4042553,41.6427153,74.5254306
0.5,25.5,26.25,23.4042553,23.6170213,23.2978723,24.0425532,163.809524,367.619048,24.2553191,24.2553191,52.0533941,93.1567882
0.6,30.6,31.5,28.0851064,28.3404255,27.9574468,28.8510638,196.571429,441.142857,29.106383,29.106383,62.4640729,111.788146
0.7,35.7,36.75,32.7659574,33.0638298,32.6170213,33.6595745,229.333333,514.666667,33.9574468,33.9574468,72.8747518,130.419504
0.8,40.8,42,37.4468085,37.787234,37.2765957,38.4680851,262.095238,588.190476,38.8085106,38.8085106,83.2854306,149.050861
0.9,45.9,47.25,42.1276596,42.5106383,41.9361702,43.2765957,294.857143,661.714286,43.6595745,43.6595745,93.6961094,167.682219
1,51,52.5,46.8085106,47.2340426,46.5957447,48.0851064,327.619048,735.238095,48.5106383,48.5106383,104.106788,186.313576
1.1,56.1,57.75,51.4893617,51.9574468,51.2553191,52.893617,360.380952,808.761905,53.3617021,53.3617021,114.517467,204.944934
1.2,61.2,63,56.1702128,56.6808511,55.9148936,57.7021277,393.142857,882.285714,58.212766,58.212766,124.928146,223.576292
1.3,66.3,68.25,60.8510638,61.4042553,60.5744681,62.5106383,425.904762,955.809524,63.0638298,63.0638298,135.338825,242.207649
1.4,71.4,73.5,65.5319149,66.1276596,65.2340426,67.3191489,458.666667,1029.33333,67.9148936,67.9148936,145.749504,260.839007
1.5,76.5,78.75,70.212766,70.8510638,69.893617,72.1276596,491.428571,1102.85714,72.7659574,72.7659574,156.160182,279.470365
1.6,81.6,84,74.893617,75.5744681,74.5531915,76.9361702,524.190476,1176.38095,77.6170213,77.6170213,166.570861,298.101722
1.7,86.7,89.25,79.5744681,80.2978723,79.212766,81.7446809,556.952381,1249.90476,82.4680851,82.4680851,176.98154,316.73308
1.8,91.8,94.5,84.2553191,85.0212766,83.8723404,86.5531915,589.714286,1323.42857,87.3191489,87.3191489,187.392219,335.364438
1.9,96.9,99.75,88.9361702,89.7446809,88.5319149,91.3617021,622.47619,1396.95238,92.1702128,92.1702128,197.802898,353.995795
2,102,105,93.6170213,94.4680851,93.1914894,96.1702128,655.238095,1470.47619,97.0212766,97.0212766,208.213576,372.627153
2.1,107.1,110.25,98.2978723,99.1914894,97.8510638,100.978723,688,1544,101.87234,101.87234,218.624255,391.258511
2.2,112.2,115.5,102.978723,103.914894,102.510638,105.787234,689.448276,1540.3908,106.723404,106.723404,222.772208,394.463267
2.3,117.3,120.75,107.659574,108.638298,107.170213,110.595745,690.896552,1536.78161,111.574468,111.574468,226.920161,397.668024
2.4,122.4,126,112.340426,113.361702,111.829787,115.404255,692.344828,1533.17241,116.425532,116.425532,231.068114,400.872781
2.5,127.5,131.25,117.021277,118.085106,116.489362,120.212766,693.793103,1529.56322,121.276596,121.276596,235.216067,404.077537
2.6,132.6,136.5,121.702128,122.808511,121.148936,125.021277,695.241379,1525.95402,126.12766,126.12766,239.364021,407.282294
2.7,137.7,141.75,126.382979,127.531915,125.808511,129.829787,696.689655,1522.34483,130.978723,130.978723,243.511974,410.487051
2.8,142.8,147,131.06383,132.255319,130.468085,134.638298,698.137931,1518.73563,135.829787,135.829787,247.659927,413.691807
2.9,147.9,152.25,135.744681,136.978723,135.12766,139.446809,699.586207,1515.12644,140.680851,140.680851,251.80788,416.896564
3,153,157.5,140.425532,141.702128,139.787234,144.255319,701.034483,1511.51724,145.531915,145.531915,255.955833,420.101321
3.1,158.1,162.75,145.106383,146.425532,144.446809,149.06383,702.482759,1507.90805,150.382979,150.382979,260.103786,423.306077
3.2,163.2,168,149.787234,151.148936,149.106383,153.87234,703.931034,1504.29885,155.234043,155.234043,264.251739,426.510834
3.3,168.3,173.25,154.468085,155.87234,153.765957,158.680851,705.37931,1500.68966,160.085106,160.085106,268.399692,429.715591
3.4,173.4,178.5,159.148936,160.595745,158.425532,163.489362,706.827586,1497.08046,164.93617,164.93617,272.547645,432.920347
3.5,178.5,183.75,163.829787,165.319149,163.085106,168.297872,708.275862,1493.47126,169.787234,169.787234,276.695598,436.125104
3.6,183.6,189,168.510638,170.042553,167.744681,173.106383,709.724138,1489.86207,174.638298,174.638298,280.843551,439.329861
